"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TMSB4X",1.94155184683388e-301,-0.463858058905235,0.998,1,6.2822793108004e-297
"SH3BGRL3",2.83967029744048e-298,-0.498869647564391,0.972,0.989,9.18832118142815e-294
"ACTB",7.51289376023597e-297,-0.522849952822491,0.972,0.991,2.43094703399955e-292
"MALAT1",2.49592943622401e-296,-0.76153499167985,0.88,0.926,8.07607887679003e-292
"B2M",5.403654599711e-291,-0.425103631692283,0.999,1,1.74846051882849e-286
"NRGN",5.41370640066165e-279,-0.410877616393358,0.99,0.991,1.75171298006209e-274
"PPBP",9.08059060212881e-260,-0.405413828020719,0.996,0.986,2.93820670113082e-255
"MT-CO1",7.62399784523944e-255,-0.498241073593166,0.96,0.969,2.46689698278413e-250
"FTH1",3.18452843615238e-241,-0.388730488975449,0.999,0.998,1.03041786608583e-236
"MYL6",4.17273811181973e-237,-0.558726967175737,0.91,0.938,1.35017287084151e-232
"MT-CO2",3.33763340845537e-232,-0.468470370173534,0.963,0.958,1.0799580419739e-227
"SERF2",2.10538561692758e-225,-0.556351031909251,0.908,0.929,6.81239624069258e-221
"CLU",2.20769912410325e-218,-0.573410730918583,0.88,0.914,7.14345205586087e-214
"FTL",1.5852306614047e-210,-0.400200927803305,0.983,0.982,5.12933085110718e-206
"CCL5",1.47837472227712e-206,-0.386512911706875,0.979,0.97,4.78357708887207e-202
"MT-ND2",3.83962681894859e-206,-0.462986177265119,0.958,0.952,1.2423880498072e-201
"HLA-E",4.15198813834267e-204,-0.453356931687417,0.918,0.928,1.34345880192354e-199
"MT-ATP6",1.73553475800432e-197,-0.459606151493479,0.948,0.937,5.61566981647457e-193
"MT-CO3",5.85287552603536e-193,-0.492474870677095,0.92,0.92,1.89381493395926e-188
"RPLP1",1.12756371100774e-187,-0.88284968572444,0.689,0.789,3.64845789970776e-183
"OAZ1",1.83769397967117e-187,-0.332622664613048,0.974,0.977,5.94622641002199e-183
"GNAS",4.08323103594929e-185,-0.405909353872322,0.962,0.945,1.32121106630211e-180
"ACTG1",3.04171563736257e-183,-0.625823933613598,0.806,0.863,9.84207928781406e-179
"OST4",1.57446070371209e-173,-0.380815256100689,0.967,0.946,5.09448249900122e-169
"NCOA4",1.61363154196084e-167,-0.503868484256293,0.875,0.89,5.22122758032267e-163
"MT-CYB",1.67130019714537e-167,-0.471031864981653,0.903,0.895,5.40782604790326e-163
"TAGLN2",4.57652137148105e-166,-0.326966025859401,0.98,0.952,1.48082502017012e-161
"HLA-B",2.38550446021905e-163,-0.465141670022906,0.89,0.878,7.71877678193079e-159
"GNG11",8.01235013988599e-163,-0.286396847337831,0.994,0.965,2.59255613476291e-158
"CAVIN2",1.06127289489979e-158,-0.27312650742072,0.991,0.968,3.43396070602726e-154
"TLN1",3.05108571322369e-158,-0.386831859747256,0.905,0.886,9.87239804227789e-154
"EEF1A1",1.31067492830911e-155,-1.05646252446566,0.567,0.711,4.24095086552978e-151
"RPS12",2.0533697904918e-155,-1.049611869511,0.57,0.717,6.64408863109431e-151
"TPT1",4.04802452624778e-155,-0.68883721270815,0.76,0.796,1.30981929595799e-150
"MT-ND4",3.7833222465702e-149,-0.496599140597856,0.87,0.859,1.22416957932272e-144
"PF4",2.61227656196039e-143,-0.264920657134405,0.993,0.96,8.45254327153523e-139
"PRKAR2B",2.93813631938506e-143,-0.356186827613924,0.924,0.877,9.50692768863423e-139
"LYL1",8.35439920898621e-136,1.52806425206183,0.544,0.149,2.70323295205167e-131
"RPL10",2.8327855168297e-124,-0.730934807829007,0.708,0.739,9.16604409680585e-120
"NFE2",5.77662628987462e-123,1.60030310129155,0.476,0.121,1.86914296861473e-118
"ARPC1B",2.39830513954797e-122,-0.544348414759515,0.792,0.79,7.76019594003537e-118
"RPL41",9.59345985855819e-117,-0.748469087272748,0.682,0.723,3.10415580643367e-112
"CNST",6.01847038534221e-108,1.18638662165314,0.576,0.195,1.94739646258518e-103
"MT-ND1",5.49500962218913e-107,-0.489613718202354,0.828,0.802,1.77802026345174e-102
"RPL13",9.71407266507476e-105,-0.980787631403489,0.528,0.645,3.14318249223824e-100
"RPS24",2.64771792079651e-104,-1.40538439917668,0.33,0.529,8.56722087632126e-100
"RBM38",7.00167121978219e-104,1.3033020826507,0.474,0.136,2.26553075658492e-99
"FAM110A",5.28124519303739e-102,1.40889841358448,0.449,0.125,1.70885250711111e-97
"DAB2",8.32569232671063e-100,1.05639875190818,0.623,0.231,2.69394426615376e-95
"IFRD1",2.16964160370358e-99,1.54637270981884,0.376,0.086,7.02030933710367e-95
"HLA-C",9.87686294647353e-99,-0.374108333071844,0.874,0.821,3.19585654359044e-94
"TMSB10",5.12157622610477e-98,-1.16083904741352,0.424,0.58,1.65718841948072e-93
"HLA-A",2.22933931148057e-97,-0.381504493480191,0.845,0.797,7.21347321015769e-93
"MYL9",2.35616967436558e-96,-0.752867337681494,0.615,0.689,7.62385821534469e-92
"TREML1",9.46386585043592e-96,-0.505698614772615,0.767,0.759,3.06222307322555e-91
"RAP2B",1.32721984534112e-93,1.13910003362608,0.505,0.164,4.29448525357026e-89
"HEMGN",3.20466431675438e-92,1.29212049122215,0.436,0.129,1.03693323297221e-87
"RPS27",6.78600601205487e-92,-0.847832036544331,0.585,0.649,2.19574796532059e-87
"LGALS12",1.831793825504e-91,1.67048151180866,0.33,0.069,5.92713528118328e-87
"CCNG1",8.50534961097374e-91,1.47105270256261,0.373,0.094,2.75207597362277e-86
"RGCC",1.38431778204837e-90,1.3902207931568,0.402,0.112,4.4792370473739e-86
"RPS14",1.51019528657151e-90,-1.17733679102689,0.42,0.561,4.88653888875943e-86
"RPL30",1.67753954685348e-90,-1.03735815368192,0.47,0.597,5.42801471175382e-86
"SEC14L1",6.3930629408863e-90,1.18968438776857,0.462,0.146,2.06860337578258e-85
"SMIM5",5.2393118772921e-89,1.09990821328719,0.502,0.17,1.69528414413541e-84
"AL034397.3",5.95664221751738e-89,1.44055666414681,0.361,0.088,1.9273907223221e-84
"PDCD10",1.54693166259413e-88,1.08055194444322,0.531,0.188,5.00540678065582e-84
"RPS27A",2.47290091139347e-88,-0.77013726328811,0.622,0.661,8.00156547899586e-84
"RPS8",6.52892248807425e-88,-1.3620805643765,0.317,0.499,2.11256344946619e-83
"GSTO1",8.56428028384983e-87,0.827669619064997,0.83,0.405,2.77114417144529e-82
"INKA1",9.27736381066454e-87,2.1022388655401,0.266,0.041,3.00187660821672e-82
"CALM3",1.33268831536863e-86,-0.376115577387727,0.849,0.786,4.31217958203828e-82
"FRMD4B",1.54447412571049e-85,1.45213820020199,0.353,0.088,4.99745492856143e-81
"RPS18",2.87340896184055e-84,-1.24501100580862,0.346,0.517,9.29748937782745e-80
"NDUFA6",4.09034590186451e-83,0.949015936932523,0.564,0.215,1.3235132234663e-78
"RPL11",4.12362235723566e-83,-1.09247112574822,0.435,0.564,1.33428048613074e-78
"RPL34",8.83366722157086e-83,-1.13627473537305,0.413,0.552,2.85830970288368e-78
"RPS23",1.88962718271219e-82,-1.27209837913108,0.348,0.511,6.11426667510184e-78
"RAB32",8.9920906573849e-82,0.822183939879086,0.78,0.353,2.90957077401003e-77
"RPL32",1.23157136398154e-81,-1.10275064823521,0.423,0.557,3.98499546243506e-77
"PPDPF",2.80297820603007e-81,-0.478959862934087,0.787,0.75,9.06959658125149e-77
"CYTOR",5.91330980528223e-81,1.17374343432987,0.422,0.133,1.91336965369517e-76
"ELF1",6.09996883610792e-81,1.0819885558909,0.471,0.162,1.97376691629944e-76
"RPS3A",1.56424106285202e-79,-1.0578043896963,0.45,0.565,5.06141480707029e-75
"RPL28",1.14188954258609e-78,-1.01591817802568,0.459,0.574,3.69481199294581e-74
"ROCK2",7.44094971085446e-78,1.27738076388169,0.338,0.086,2.40766809794118e-73
"RPLP2",9.58754178279204e-77,-1.3292136319181,0.314,0.481,3.10224089465802e-72
"RAB27B",2.26524909244152e-76,0.811077824079709,0.746,0.338,7.32966648841301e-72
"FRMD3",2.32982143508017e-76,1.36766091676101,0.331,0.087,7.53860321748891e-72
"RASGRP2",2.87172454952005e-76,0.872897972496602,0.601,0.243,9.29203912488202e-72
"CFL1",6.61643586399137e-76,-0.630917579198073,0.656,0.677,2.14088015251169e-71
"HEXIM2",9.94344024359305e-76,1.56823222324635,0.292,0.066,3.2173989596194e-71
"STON2",1.06361592842827e-75,1.05610253217525,0.412,0.131,3.44154205961534e-71
"PSTPIP2",1.23423775380099e-75,1.02293093874239,0.458,0.16,3.99362309997385e-71
"SWI5",2.48852391229065e-75,1.14285748243448,0.378,0.113,8.05211682299885e-71
"ETFA",3.59746553597073e-75,0.829970119341565,0.639,0.272,1.16403192347405e-70
"EGLN3",4.61423029391581e-75,1.50412443304788,0.3,0.071,1.49302649620234e-70
"NEXN",5.41328585563572e-75,0.866431158701148,0.592,0.24,1.75157690430805e-70
"CLIC1",6.29712589634611e-75,0.826830797428825,0.727,0.331,2.03756102628071e-70
"TBPL1",1.23796898602754e-74,1.80112305141973,0.259,0.05,4.00569624808932e-70
"SENCR",2.41500657272029e-74,1.2167357762724,0.345,0.095,7.81423676735104e-70
"AKIRIN2",1.95629915087299e-72,0.884398134492351,0.534,0.208,6.32999716247972e-68
"SAT1",2.43163953338485e-72,-0.303554287214818,0.856,0.791,7.86805603817336e-68
"ESAM",3.62191173596457e-72,0.830838354215281,0.57,0.226,1.17194198040606e-67
"NDUFB4",5.20860838588217e-72,1.178929013053,0.348,0.1,1.68534941541989e-67
"ASAP1",2.10918536267695e-71,1.07462354745705,0.395,0.127,6.82469107801382e-67
"VAPA",3.1488395158485e-71,0.864607669183509,0.512,0.195,1.0188700021431e-66
"F13A1",7.03528918870769e-71,-0.401924779454503,0.8,0.737,2.27640852279015e-66
"TACC3",1.21667302689864e-70,0.946823978613341,0.442,0.154,3.93678891313592e-66
"CASP3",1.25412050544713e-70,1.59485751766406,0.262,0.055,4.05795771947528e-66
"SAV1",2.67733775127921e-70,1.1144479412343,0.363,0.111,8.66306176181413e-66
"TNFSF4",2.8025836899287e-70,0.984255146918419,0.432,0.15,9.06832004550229e-66
"PNMA1",8.12129692294506e-70,1.11820412499558,0.365,0.113,2.62780804535733e-65
"RPS2",2.25861008195023e-69,-1.22829347587424,0.326,0.482,7.30818464216637e-65
"DERA",5.28014783988944e-69,1.19469413877629,0.344,0.103,1.70849743655302e-64
"SIAH2",1.24413494956178e-68,1.15554024639305,0.329,0.093,4.02564745629705e-64
"EIF1B",2.75301149319144e-68,0.921153493829948,0.436,0.155,8.90791928851955e-64
"AHCTF1",9.35840020253164e-68,1.29659753228833,0.3,0.079,3.02809755353316e-63
"RPL19",9.79325116587954e-68,-1.05738952875493,0.411,0.53,3.16880227974364e-63
"VIM-AS1",1.0812716957238e-67,0.786879938173394,0.579,0.242,3.49867082585351e-63
"INAFM2",1.0150704943656e-66,0.915439168603512,0.442,0.161,3.28446359861878e-62
"PIP4P2",2.13984396162979e-66,0.951601576104068,0.423,0.15,6.92389310664551e-62
"MTPN",3.42068017518916e-66,-0.358140426693133,0.808,0.748,1.10682948428596e-61
"RPL39",3.45366615813248e-66,-1.08735429711541,0.398,0.518,1.11750275878693e-61
"RPL18A",4.67556968704731e-66,-1.32475177051538,0.284,0.442,1.5128740836379e-61
"CMIP",5.81555160146882e-66,0.767025006066922,0.548,0.217,1.88173803168727e-61
"UBE2H",9.51538481255733e-66,0.904624597735012,0.43,0.154,3.07889306379917e-61
"PPM1A",1.27176288134307e-65,0.859778639058139,0.447,0.163,4.11504315516177e-61
"SSX2IP",1.41098931967291e-65,0.858481628422015,0.486,0.188,4.56553814166562e-61
"RPS13",2.24468918765735e-65,-1.23868814846106,0.313,0.464,7.26314080450289e-61
"MEIS1",9.10670995884732e-65,1.28601154418661,0.281,0.072,2.94665814138423e-60
"ICAM2",1.84078962791039e-64,0.847168967063627,0.459,0.17,5.95624299902966e-60
"PDGFA",2.08808760155719e-64,0.774729011442011,0.569,0.239,6.75642505235861e-60
"KAT6A",3.18190961121631e-64,1.14203047808222,0.3,0.082,1.02957049290126e-59
"CRBN",3.2669877110929e-64,1.15089274819839,0.305,0.085,1.05709921367833e-59
"PYGL",3.90681757742502e-64,0.909175827758321,0.379,0.125,1.26412896352741e-59
"UBE2B",5.7295646218005e-64,1.3353021291577,0.277,0.071,1.85391522467599e-59
"PTGIR",1.31135223838026e-63,1.30094625598847,0.282,0.074,4.24314243772699e-59
"UBALD2",2.1594961718806e-63,1.32131753006008,0.273,0.069,6.98748176335405e-59
"TMBIM1",4.15181790596219e-63,0.836435033193565,0.431,0.156,1.34340371983218e-58
