"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.18645008853597,0.765,0.434,0,"0","MYL9"
0,0.83284414675241,0.981,0.651,0,"0","TUBB1"
0,1.06521597047694,0.839,0.51,0,"0","TREML1"
0,0.865987147413804,0.993,0.666,0,"0","PF4"
0,0.8831248481597,0.998,0.686,0,"0","PPBP"
0,0.865807091731106,0.999,0.694,0,"0","NRGN"
0,0.848038942873264,0.987,0.684,0,"0","GNG11"
0,0.840593813134213,0.884,0.587,0,"0","GP9"
0,0.864518779448406,0.984,0.693,0,"0","CCL5"
0,0.988256584171698,0.948,0.662,0,"0","CLU"
0,0.796956641083031,0.98,0.728,0,"0","CAVIN2"
0,0.881926110357324,0.912,0.66,0,"0","PRKAR2B"
0,0.880194833067316,0.893,0.701,0,"0","TPM4"
0,0.882457798894166,0.934,0.757,0,"0","TLN1"
0,0.848000605689054,0.856,0.702,0,"0","SAT1"
0,0.777711140110009,0.983,0.843,0,"0","TAGLN2"
0,0.815291184171195,0.884,0.763,0,"0","ACTG1"
0,0.724725221784033,0.934,0.814,0,"0","NCOA4"
0,0.746837419252834,0.971,0.856,0,"0","MYL12A"
0,0.796475142255399,0.939,0.825,0,"0","HLA-E"
0,0.624580854629222,0.991,0.899,0,"0","H3F3A"
0,0.765878735792543,0.873,0.794,0,"0","HLA-C"
0,0.710528547878885,0.906,0.83,0,"0","HLA-B"
0,0.669781635977353,0.928,0.852,0,"0","ITM2B"
0,0.66352086631471,0.964,0.895,0,"0","OST4"
0,0.65378784806941,0.961,0.894,0,"0","GNAS"
0,0.691598105136044,0.962,0.901,0,"0","MYL6"
0,0.701102424054501,1,0.94,0,"0","TMSB4X"
0,0.674319259419287,0.991,0.933,0,"0","SH3BGRL3"
0,0.669013155607876,0.995,0.944,0,"0","ACTB"
0,0.469599989875528,1,0.978,0,"0","FTH1"
0,0.520052152632444,1,0.978,0,"0","B2M"
1.33054871202895e-311,0.92740266288755,0.834,0.685,4.30525646751208e-307,"0","ARPC1B"
1.86146380119372e-311,0.889566532993935,0.838,0.683,6.02313842152251e-307,"0","CALM3"
8.87824208507431e-306,0.797011028970094,0.853,0.586,2.8727327914675e-301,"0","TUBA4A"
3.93618735848756e-293,0.891704471922057,0.81,0.649,1.27363214358582e-288,"0","FERMT3"
1.35084550114252e-287,0.438116017516102,0.992,0.969,4.37093078804687e-283,"0","OAZ1"
3.77191608558336e-287,0.819463162922397,0.832,0.693,1.22047888781221e-282,"0","TGFB1"
6.82959365765136e-286,0.635568099697776,0.913,0.784,2.20985161980625e-281,"0","RGS10"
3.9128723474885e-279,0.928759469146319,0.772,0.515,1.26608810547685e-274,"0","F13A1"
2.6363085701587e-270,0.669806566064612,0.873,0.791,8.53030364046249e-266,"0","NAP1L1"
3.6698684090223e-266,0.864649051262917,0.767,0.52,1.18745932110735e-261,"0","CMTM5"
5.10700460063678e-263,0.708407346854963,0.816,0.747,1.65247347862804e-258,"0","GAPDH"
6.95443023483376e-259,0.506473517704548,0.948,0.927,2.25024499108516e-254,"0","SERF2"
4.12572493887497e-251,0.814330860231116,0.787,0.616,1.33496081847177e-246,"0","CDKN2D"
4.70001761823612e-251,0.857456985031122,0.788,0.678,1.52078470073266e-246,"0","SRGN"
1.59587917573547e-250,0.74464704261901,0.818,0.664,5.16378624892726e-246,"0","ODC1"
4.35441706824789e-239,0.918744513946188,0.752,0.562,1.40895873077297e-234,"0","CTSA"
1.01375644346149e-236,0.671562075400453,0.902,0.721,3.28021172410833e-232,"0","HIST1H2AC"
1.18268715740025e-236,0.937740496864405,0.731,0.508,3.82682083519999e-232,"0","SPARC"
1.46943475006843e-235,0.892981086701539,0.759,0.584,4.75465002079643e-231,"0","VCL"
2.81109273536739e-234,0.674688475510244,0.849,0.737,9.09585276382827e-230,"0","LIMS1"
4.34836380354226e-234,0.929553981269665,0.752,0.588,1.40700007591217e-229,"0","PKM"
9.88772203140336e-228,0.771144082599456,0.811,0.743,3.19937021770118e-223,"0","PPDPF"
