"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",8.28549607659948e-165,1.22313482951128,0.561,0.358,2.68093796550529e-160,"0","FCER1G"
"2",0,1.18645008853597,0.765,0.434,0,"0","MYL9"
"3",4.89589315929242e-83,1.16066122821638,0.417,0.28,1.58416414955225e-78,"0","CD151"
"4",4.77587972444933e-115,1.12398383495108,0.526,0.385,1.54533140244007e-110,"0","PARVB"
"5",5.21654513440702e-44,1.10810824186462,0.274,0.176,1.68791750914008e-39,"0","CALD1"
"6",4.95716448247399e-62,1.09316084020714,0.391,0.278,1.60398971159411e-57,"0","C12orf75"
"7",0,1.06521597047694,0.839,0.51,0,"0","TREML1"
"8",6.63327187599477e-214,1.05438599766584,0.656,0.429,2.14632778091563e-209,"0","CD9"
"9",2.56238105635421e-139,1.05429479823648,0.577,0.416,8.29109638404531e-135,"0","FLNA"
"10",4.98411513983694e-43,1.05033049567567,0.287,0.19,1.61271013579704e-38,"0","CXCL5"
"11",6.03764265110176e-99,2.06829092713037,0.266,0.118,1.953600032617e-94,"1","INKA1"
"12",8.56082539123568e-285,1.97522787215427,0.33,0.057,2.77002627184213e-280,"1","LGALS12"
"13",3.32119127907777e-227,1.91012447387567,0.376,0.112,1.07463786217119e-222,"1","IFRD1"
"14",5.86050320375572e-207,1.8724702314942,0.292,0.066,1.89628302163924e-202,"1","HEXIM2"
"15",1.17048539817187e-289,1.86120653048066,0.449,0.123,3.78733960286471e-285,"1","FAM110A"
"16",1.55825960300343e-257,1.81621542883344,0.331,0.065,5.04206059743821e-253,"1","FRMD3"
"17",4.72572483571886e-201,1.7660429787894,0.3,0.072,1.52910278509355e-196,"1","EGLN3"
"18",1.79162952903429e-214,1.74950855407915,0.282,0.056,5.79717566709624e-210,"1","PTGIR"
"19",1.3124758885103e-143,1.70445090116544,0.353,0.147,4.24677823245278e-139,"1","FRMD4B"
"20",3.64518694129781e-107,1.69120362431318,0.259,0.1,1.17947313859573e-102,"1","TBPL1"
"21",2.07284719182982e-49,1.18976823194685,0.351,0.229,6.70711165860376e-45,"2","S100A9"
"22",1.56738167624424e-45,1.16705487111066,0.333,0.214,5.07157688982347e-41,"2","S100A8"
"23",2.43041717443796e-49,1.08733215594854,0.41,0.293,7.86410085132892e-45,"2","LYZ"
"24",5.64352500191717e-07,0.949994897403142,0.283,0.275,0.0182607538487034,"2","S100A6"
"25",3.03043294864049e-08,0.766478673457778,0.34,0.347,0.000980557189191603,"2","S100A4"
"26",2.07472612911379e-64,0.731204279824027,0.58,0.513,6.7131913359735e-60,"2","TMSB10"
"27",2.25970346279219e-96,0.698754446376202,0.689,0.491,7.31172249455668e-92,"2","MYL9"
"28",8.32196613765834e-182,0.670833563752026,0.914,0.704,2.69273858316211e-177,"2","CLU"
"29",1.95157161697112e-62,0.639491281972752,0.661,0.601,6.31470028103344e-58,"2","CST3"
"30",2.75397403778898e-105,0.636037588342638,0.737,0.553,8.9110337940738e-101,"2","F13A1"
"31",0,6.88392369174597,0.4,0.006,0,"3","IFIT1B"
"32",0,6.72956183498186,0.407,0.009,0,"3","GYPB"
